userName,content,score,at
Pengguna Google,"saya menggunakan aplikasi ini sudah lama. Vitur² yg ada di aplikasi ini semuanya oke, gambar-gambarnya bagus, jelas, hnya ada sedikit yg ganjil krna tampilan homenya berubah tpi it's okay, trus yg menjengkelkannya saya nggak bisa NONTON IKLAN untuk membaca eps secara gratis T_T, itu kenapa yaa.. tolong dong pihak Webtoon supaya sy bisa nonton iklannya:)",5,2025-03-29 11:32:43
Pengguna Google,"rate 2 karena makin banyak cerita smut yang masuk. Cuma pencet udah 18+ tanpa verifikasi ktp kayak naver itu teledor banget. Banyak banget anak-anak dibawah umur yang baca di webtoon tapi malah genre 21+ juga dimasukin hadeh. Kadang juga ada terjemahan yang nggak konsisten, bahasa kaku, nama-nama karakter berubah. ada beberapa webtoon yang terjemahananya nggak jelas, lebih jelek dari terjemahan website ilegal. Cuma mau webtoon tolong dibenerin bagian itu",2,2025-04-10 07:42:24
Pengguna Google,"Tampilan berandanya(home) aneh.. kayak ga berasa kayak tampilan beranda. Udah bener yang lama udah bagus,ada nampilin event di awal, bisa dislide ke kanan-kiri... buat saya itu hiburan kecil sih, karna jenuh scroll kebawah terus, juga buat saya tau event-event yang lagi ada yang sekarang lewat slide diawal itu.. sekarang aneh banget.. berasa kayak buka list komik, bukan beranda.",4,2025-03-06 22:01:26
Pengguna Google,"Untuk aplikasinya memang bagus, dan banyak fitur yang bisa membantu, tapi.. Kenapa akhir akhir ini banyak manhwa dewasa yang masuk, kek apalah pihak webton, lebih baik banyakin komik lokal/yang hiatus. Ayolah webton banyak anak kecil yang baca jika bisa tolong batasan umurnya di tingkatkan lagi.. Segitu saja ulasan saya, maaf jika ada typo atau sebagainya..",5,2025-03-05 08:00:52
Pengguna Google,"padahal tampilan awal 'home' udah bagus dan terbiasa, eh malah diubah.. sekarang tampilan 'home' jadi jelek dan ga nyaman. aku suka banget baca webtoon, apalagi pas ada webtoon baru terus ditampilin di bagian 'home' yang bisa dislide-slide itu. jadinya koleksi bacaan makin banyaak~ tapi pas tampilan 'home' diubah jadi susah mau nyari cerita yang bagus karna harus dibuka satu-satu. belum lagi ga semua cover + judul cerita di webtoon itu menarik, jadi kalau ga keliatan menarik ya ga bakal kebaca",3,2025-03-01 00:39:18
Pengguna Google,"sebenarnya bagus, update-annya juga lucu (ada stikernya) tapi kurangnya itu ada di komik yang sekarang, udah manhwanya keramaian, didominasi tema kerajaan juga, banyak author lokal yang kena drop, yang hiatus ga comeback' (padahal di wt lain udah), dan buat fitur baca pake iklan...wah, iklannya, GILA. Langsung sontak pasti tutup aplikasi ☠️☠️☠️ tolong, plis lah pihak webtoon, dipilah lagi iklannya (つд⊂) GENRENYA JUGA WOY, DIPILAH LAGII",4,2025-02-12 12:15:56
Pengguna Google,"overall yang lainnya bagus tapi kalo bagian manhwa/manhua yang langsung dailypass dari awal apalagi webtoon karya anak bangsa tuh bikin badmood parah! ya kalo jadi dailypass setelah lwat beberapa tahun dari rilis ya gapapa.. tapi ini masalahnya dari awal contoh nya back to chanbi, dll.. saranku jngan dikasih dailypass dulu, coba dibiarin beberapa bulan/beberapa tahun baru di kasih apalagi klo dailypass gabisa SS gambarnya. Di bagian scene yang kita suka jdi gabisa di SS dan terpaksa baca bajakan",5,2025-02-09 05:39:29
Pengguna Google,"good app! suka bgt pokoknya, buat pembaca gratisan kdg suka dpt koin dr event webtoon, selama pake aplikasi ini gada kendala sama sekali. mungkin gambar nya bisa lebih hd lagi, trs kdg webtoon favorit gue suka ilang sndri, tolong diperbaikii yaa. terus manhwa bitten by the dog i abandoned itu kok hilang ya? dulu ada, gue baru baca chap 1 trs pas mau baca lg udah hilang, mohon perbaikan nya yaa. itu aja, selebihnya oke, semangat developer ^^",5,2025-03-04 15:10:37
Pengguna Google,"Overall bagus, Kisah-kisah/film nya perfect, Ya tapi belum nonton semua sih. Aplikasi Webtoon ini cukup bagus untuk mencari kisah-kisah/film. Gambar-gambaran Author pembuat kisah/filmnya bagus-bagus semua, Ga ada yang kurang, Pokoknya perfect deh!, Ga ada yang kurang-kurang di aplikasi ini, Jadi makin seru lihat-lihat film/kisah nya!. Overall aku rating aplikasi ini bintang lima yah!",5,2025-03-28 14:33:38
Pengguna Google,"Maaf, tapi kenapa ya udah di sinkronisasi tapi tetep hilang jejak terakhir dibacanya? Dulu pernah uninstall dan udah di sinkronisasiin. Trus diinstal lagi, eh jejak terakhir dibacanya jauhh kebawah:') alhasil cari mandiri deh terakhir dibacanya kapan. Selain itu bagus bagus semua coy, banyak jenis jenis komik yang bagus, pokoknya bintang lima deh.",5,2025-02-25 15:15:04
